No,Word,Parts of Speech,IPA,Vietnamese,Example
481,usually,adv,/ˈjuːʒuəli/,"Thường xuyên, thường thì","We usually bring a healthy snack like an apple to school. 
(Chúng tớ thường mang theo một món ăn nhẹ tốt cho sức khỏe như một quả táo đến trường.)"
482,view,n/v,/vjuː/,"Tầm nhìn, phong cảnh","From the top of the skyscraper, the view is amazing. 
(Từ trên đỉnh của tòa nhà chọc trời, phong cảnh thật là kinh ngạc.)"
483,violin,n,/ˌvaɪəˈlɪn/,Đàn vi-o-lông,"She plays a beautiful tune on her silver violin at the concert. 
(Cô ấy chơi một giai điệu tuyệt đẹp trên cây đàn vi-o-lông bạc của mình tại buổi hòa nhạc.)"
484,visit,v/n,/ˈvɪzɪt/,"Thăm, ghé thăm","Let's visit our grandparents during the summer holiday. 
(Chúng mình hãy đến thăm ông bà trong kỳ nghỉ hè nhé.)"
485,volleyball,n,/ˈvɑːlibɔːl/,Môn bóng chuyền,"The school team won the first prize in the volleyball match. 
(Đội của trường đã giành giải nhất trong trận đấu bóng chuyền.)"
486,waiter,n,/ˈweɪtər/,"Bồi bàn, phục vụ nam","The friendly waiter brought us a large cheese pizza. 
(Người phục vụ nam thân thiện đã mang cho chúng tớ một chiếc bánh pizza phô mai lớn.)"
487,warm,adj/v,/wɔːrm/,Ấm áp,"The plane is flying south to a warm and sunny island. 
(Chiếc máy bay đang bay về hướng nam để đến một hòn đảo ấm áp và đầy nắng.)"
488,way,n,/weɪ/,"Đường đi, cách thức","Follow the stone path; it is the best way to the secret garden. 
(Hãy đi theo lối đi bằng đá; đó là đường tốt nhất để đến khu vườn bí mật.)"
489,west,n/adj/adv,/west/,Hướng tây,"The golden sun always sets in the west in the evening. 
(Mặt trời vàng luôn lặn ở hướng tây vào buổi tối.)"
490,wheel,n/v,/wiːl/,Bánh xe,"The heavy cart has four strong plastic wheels to move easily. 
(Chiếc xe đẩy nặng có bốn bánh xe bằng nhựa chắc chắn để di chuyển dễ dàng.)"
491,while,conj/n,/waɪl/,Trong khi,"Tom did his project while his older sister listened to pop music. 
(Tom đã làm dự án của mình trong khi chị gái cậu ấy nghe nhạc pop.)"
492,whisper,v/n,/ˈwɪspər/,Thì thầm,"The students always whisper quietly when they are in the library. 
(Các học sinh luôn thì thầm khẽ khẽ khi họ ở trong thư viện.)"
493,whistle,v/n,/ˈwɪsl/,"Thổi còi, huýt sáo","The referee blew his plastic whistle to stop the football match. 
(Trọng tài đã thổi chiếc còi nhựa của mình để dừng trận đấu bóng đá.)"
494,wife,n,/waɪf/,Người vợ,"The rich king lived happily with his beautiful wife in the castle. 
(Vị vua giàu có đã sống hạnh phúc cùng người vợ xinh đẹp của mình trong lâu đài.)"
495,wifi,n,/ˈwaɪfaɪ/,Mạng wifi,"You can connect your computer to the school wifi for online lessons. 
(Con có thể kết nối máy tính của mình với wifi của trường để học các tiết học trực tuyến.)"
496,wild,adj,/waɪld/,Hoang dã,"The nature programme is about wild animals like zebras and eagles. 
(Chương trình thiên nhiên nói về các loài động vật hoang dã như ngựa vằn và đại bàng.)"
497,will,modal v,/wɪl/,Sẽ,"I am sure our school soccer team will win the prize tomorrow. 
(Tớ chắc chắn rằng đội bóng đá trường chúng tớ sẽ giành giải thưởng vào ngày mai.)"
498,William,n,/ˈwɪljəm/,Uy-li-am,"William likes to explore nature and collect leaves. 
(Uy-li-am thích khám phá thiên nhiên và nhặt lá cây.)"
499,win,v/n,/wɪn/,"Chiến thắng, giành giải","He trained very hard to win the English speaking competition. 
(Cậu ấy đã rèn luyện rất chăm chỉ để chiến thắng cuộc thi hùng biện tiếng Anh.)"
500,wing,n,/wɪŋ/,"Cánh (chim, máy bay)","The white swan opened its giant wings and flew over the stream. 
(Chú thiên nga trắng mở đôi cánh khổng lồ của mình và bay qua dòng suối.)"
501,winner,n,/ˈwɪnər/,Người chiến thắng,"The lucky winner of the speaking contest got a silver medal. 
(Người chiến thắng may mắn của cuộc thi hùng biện đã nhận được một huy chương bạc.)"
502,winter,n,/ˈwɪntər/,Mùa đông,"We can build a happy snowman in the yard during the winter. 
(Chúng mình có thể làm một người tuyết vui vẻ ở ngoài sân suốt mùa đông.)"
503,wish,v/n,/wɪʃ/,"Ước, mong muốn","I wish I could fly a giant spaceship to explore the planet. 
(Tớ ước tớ có thể lái một con tàu vũ trụ khổng lồ để khám phá hành tinh.)"
504,without,prep,/wɪˈðaʊt/,Mà không có,"Don't leave the house without a colorful umbrella on a rainy day. 
(Đừng rời khỏi nhà mà không có một chiếc ô rực rỡ vào một ngày mưa nhé.)"
505,wonderful,adj,/ˈwʌndərf/,Tuyệt vời,"The secret birthday party was a wonderful surprise for Katy. 
(Bữa tiệc sinh nhật bí mật quả là một sự bất ngờ tuyệt vời dành cho Katy.)"
506,wood,n,/wʊd/,Gỗ / Khu rừng nhỏ,"They collected dry wood to make a warm fire at the camp. 
(Họ đã nhặt củi khô để nhóm một ngọn lửa ấm áp tại trại cắm.)"
507,wool,n,/wʊl/,"Len, sợi len","This comfortable striped sweater is made of soft wool. 
(Chiếc áo len kẻ sọc thoải mái này được làm bằng len mềm mại.)"
508,worried,adj,/ˈwɜːrid/,Lo lắng,"She felt a bit worried because she left her backpack somewhere. 
(Cô ấy cảm thấy hơi lo lắng vì cô ấy đã bỏ quên chiếc ba lô của mình ở một nơi nào đó.)"
509,x-ray,n/v,/ˈeks reɪ/,"Tia X, chụp X-quang","The doctor took an x-ray to check the bone in his hurt toe. 
(Bác sĩ đã chụp X-quang để kiểm tra phần xương ở ngón chân bị đau của cậu ấy.)"
510,yet,adv,/jet/,Chưa (dùng trong câu phủ định/nghi vấn),"The students haven't finished their science project yet. 
(Các học sinh vẫn chưa hoàn thành xong dự án khoa học của họ.)"
511,yoghurt,n,/ˈjoʊɡərt/,Sữa chua,"Add some sweet strawberry pieces into your fresh yoghurt. 
(Hãy thêm vài miếng dâu tây ngọt ngào vào món sữa chua tươi của con nhé.)"
512,you’re welcome,phrase,/jʊr ˈwelkəm/,Không có gì (đáp lại lời cảm ơn),"Thank you for the delicious meal! - ""You're welcome!"" 
(Cảm ơn bạn vì bữa ăn ngon miệng nhé! - ""Không có gì đâu!"")"
513,zero,num,/ˈzɪroʊ/,Số không (0),"The number on the football uniform was a big white zero. 
(Số áo trên bộ đồng phục bóng đá là một số không lớn màu trắng.)"
